number,fromUsername,context,record_time
322586186,kaifang站点管理员, enen ,9/10/2017 9:54
322586186,Lhy, 听到了，尚齐,9/10/2017 10:04
322586186,hxq, 开开试试,9/11/2017 14:03
322586186,ccc, 听见了,9/18/2017 15:19
322586186,ccc, 可以念一下文档吗,9/18/2017 15:20
322586186,kaifang站点管理员, 听不见的退出重进一下吧,9/18/2017 15:20
322586186,ccc, 很好了,9/18/2017 18:36
322586186,KAKA, 这个二维码可以了,9/18/2017 18:53
322586186,aaa, 第一个二维码是发错了吗,9/18/2017 19:01
322586186,KAKA, 第一个进不来,9/18/2017 19:06
322586186,aaa, 还没开声音吗,9/18/2017 19:28
322586186,kaifang站点管理员, 我这边有点吵，我把声音关闭了,9/18/2017 19:34
322586186,hxq, 听不到声音,9/18/2017 19:38
322586186,kaifang站点管理员, 稍等啊,9/18/2017 19:43
322586186,海英, 我这边听的很清楚,9/18/2017 19:46
322586186,KAKA, 听不见,9/18/2017 19:48
322586186,KAKA, 比前面好,9/19/2017 16:06
322586186,ccc, 有用pc的吗，效果还好吗,9/23/2017 19:31
322586186,KAKA, 在上面了,9/23/2017 19:33
322586186,KAKA, 变卡了,9/29/2017 10:43
322586186,KAKA, 不知道是不是我这里的网络原因,11/2/2017 10:38
322586186,kaifang站点管理员, 看的清楚吗？,11/7/2017 20:48
694130543,hxq, 小姜，翻动一下ppt吧,9/10/2017 9:58
694130543,tt, 看到了,9/10/2017 9:58
694130543,袁庆生, 是的,9/10/2017 9:59
694130543,况莹莹, 反转星球,9/10/2017 10:01
694130543,陈泽纯, 都变成像机器人一样真的好恐怖了,9/10/2017 10:02
694130543,袁庆生, 通过银行征信系统.,9/10/2017 10:02
694130543,袁庆生, 车到山前必有路.,9/10/2017 10:03
694130543,陈泽纯, 我还是喜欢中国,9/10/2017 10:04
694130543,况莹莹, 老师，你买什么股票？,9/10/2017 10:04
694130543,袁庆生, 金融学试卷一的25套题往年期末考试中会有大覆盖吗?,9/10/2017 10:06
694130543,况莹莹, 现在就是印多了,9/10/2017 10:07
694130543,袁庆生, 做账公司做账,9/10/2017 10:08
694130543,袁庆生, 出险两次才上浮商业险.一个违法上浮交强险,9/11/2017 14:03
694130543,袁庆生, 成本高,9/11/2017 14:04
694130543,陈泽纯, 那那些贪官转移资产到国外是怎么转的？,9/16/2017 17:22
694130543,安琪, 气色佳,9/16/2017 17:37
694130543,王聪, 祝老师好亲切,9/17/2017 22:06
694130543,况莹莹, 王健林为什么退出房地产,9/17/2017 22:07
694130543,袁庆生, 分辨率提高了.,9/17/2017 22:07
694130543,陈泽纯, 很多公司都是刚好够维持而已,9/17/2017 22:23
694130543,陈泽纯, 祝老师，晚上好,9/17/2017 22:25
694130543,袁庆生," 祝老师,网上作业后三个未开启.",9/17/2017 22:26
694130543,袁庆生, 祝老师晚上好！,9/17/2017 22:53
694130543,陈泽纯, 就跟买车险一样，要是出过事就比没出过事的的贵,9/18/2017 15:19
694130543,陈泽纯, 去年有,9/18/2017 15:19
694130543,陈泽纯, 好的,9/18/2017 15:20
694130543,hxq, 祝老师好,9/18/2017 15:20
694130543,袁庆生, 买车险上浮保险有个出现最低次数.,9/18/2017 15:21
694130543,况莹莹, 再见,9/18/2017 18:07
694130543,况莹莹, 首次进入刷脸系统是20几岁，到50岁以上脸都皱了，还能刷吗,9/18/2017 18:30
694130543,陈泽纯, 所以千万不能印钱,9/18/2017 18:31
694130543,薛盈墨, 25套题，天哪，比西方经济还要多,9/18/2017 18:31
694130543,袁庆生, 蚂蚁金服开放无人值守技术,9/18/2017 18:34
694130543,袁庆生," 据外电报道,来自投资银行方面的消息称,阿里巴巴集团关联公司蚂蚁金服首次公开招股的时间,已被推迟至最早2018年年底。 ",9/18/2017 18:37
694130543,陈泽纯, 8点开始,9/18/2017 18:45
694130543,陈泽纯, 台湾也是中国的呀,9/18/2017 18:47
694130543,袁庆生, 人民币到台湾也可用,9/18/2017 18:48
694130543,hxq, 小姜，你念一段吧,9/18/2017 18:51
694130543,陈泽纯, BBS晚上几点？,9/18/2017 18:52
694130543,陈泽纯, 人工智能一出现，又有一大堆人要失业了,9/18/2017 18:58
694130543,陈泽纯, 我们交了很多税以后的没有什么保障的,9/18/2017 18:58
694130543,祝小兵, 这是修改版的意思,9/18/2017 18:59
694130543,袁庆生, 劳动力人力资源的再分配.,9/18/2017 19:03
694130543,陈泽纯, 开心,9/18/2017 19:03
694130543,况莹莹, 美国科幻大片时代要来了,9/18/2017 19:04
694130543,吴为, 祝老师，早点休息,9/18/2017 19:05
694130543,袁庆生, 祝老师第二章后的上课课件有可能改吗?,9/18/2017 19:13
694130543,陈泽纯, 我们是交了很多税以后都没有什么保障的,9/18/2017 19:13
694130543,hxq, 看到翻了,9/18/2017 19:16
694130543,吴为, 美元,9/18/2017 19:17
694130543,陈泽纯, 祝老师，失业的人怎么办，感觉社会会变得不安全了,9/18/2017 19:22
694130543,陈泽纯, 珍惜自己的信用,9/18/2017 19:23
694130543,袁庆生, 关联交易洗钱,9/18/2017 19:26
694130543,李文丽, 两周一次课，太少了,9/18/2017 19:27
694130543,吴为, 人民币要努力,9/18/2017 19:27
694130543,袁庆生, 那是眼光和环境,9/18/2017 19:28
694130543,袁庆生, 刚有报道10岁女孩读私塾上商丘大专,9/18/2017 19:29
694130543,孙慧, 直播的图像和画面都不错,9/18/2017 19:30
694130543,陈泽纯, 有钱才能生钱,9/18/2017 19:30
694130543,陈泽纯, 祝老师，同花顺有的，上学期已经交易过了，已经亏了的怎么办？,9/18/2017 19:30
694130543,张勇, 喜欢祝老师的课哦,9/18/2017 19:35
694130543,hxq, 能听到,9/18/2017 19:45
694130543,安琪, 视频声音很好，效果棒,9/18/2017 19:45
694130543,袁庆生, 祝老师网上作业后三套尚未开启.,9/19/2017 16:06
694130543,况莹莹, 信用消费,9/21/2017 21:52
694130543,袁庆生, 依据人脑忘记曲线.我们95%的知识会忘记.,9/23/2017 20:18
694130543,陈泽纯, 是只有我没有声音了吗？,9/25/2017 11:03
694130543,袁庆生, 人民币出香港不容易,9/25/2017 11:03
694130543,袁庆生, 买涨不买跌心里.,9/25/2017 22:57
694130543,陈泽纯, 以后我们要变成机器人的奴隶了,9/25/2017 23:00
694130543,陈泽纯, 是闭卷的吗？,9/25/2017 23:48
694130543,吴为, 祝老师辛苦了,9/29/2017 10:43
694130543,袁庆生," 坐高铁,飞机出国会受影响.上了黑名单",11/2/2017 10:38
694130543,袁庆生, 欧洲有无管理者(刷脸}宾馆.,11/7/2017 15:23
694130543,祝小兵, 再见,11/7/2017 15:24
694130543,袁庆生, 可设一个年龄段更新期.,11/7/2017 20:48
985200355,张令元, 呵呵,9/10/2017 10:01
985200355,张令元, 听懂了吗?,9/10/2017 10:04
985200355,田朵朵, 懂了,9/16/2017 17:37
985200355,田朵朵, 很清楚,9/17/2017 22:52
985200355,田朵朵, 抱歉,9/17/2017 22:54
985200355,张令元, 有什么问题吗?,9/18/2017 18:10
985200355,田朵朵, 函数的周期性有什么具体实例吗？,9/18/2017 19:44
985200355,田朵朵, 有事先跑,9/19/2017 15:31
985200355,张令元, 怎么跑了?,9/25/2017 11:03
985200355,田朵朵, 张老师辛苦了！老师再见！,11/7/2017 20:48
985200355,张令元," 有的,如星期作为日期的函数是周期为7的周期函数,因为每隔7天就重复周一到周日.",11/7/2017 20:48
1315020952,八个, 你们好,9/18/2017 19:07
1315020952,gg, 没声音,9/18/2017 19:10
1315020952,八个, 大家好,9/18/2017 19:19
1315020952,gg, 能看到人,9/23/2017 22:14
1606544467,hhhhhhh, 听到,9/10/2017 9:58
1606544467,hhhhhhh, 老师们帅啊,9/16/2017 16:44
1606544467,hhhhhhh, 你辛苦了,9/16/2017 17:22
1606544467,hhhhhhh, 啊啊啊,9/18/2017 15:21
1606544467,hhhhhhh, 抬个头呗,9/18/2017 19:01
1606544467,hhhhhhh, 季老师，可以说几句话吗,9/18/2017 19:22
1606544467,hhhhhhh, 有钱是好,9/18/2017 19:36
1606544467,hhhhhhh, 看到帅哥喽,9/18/2017 19:44
1606544467,hhhhhhh, 果然美颜,9/18/2017 20:08
1606544467,hhhhhhh, 再说几句呗,9/19/2017 15:31
1606544467,hhhhhhh, 又听到了,9/25/2017 11:03
1954801364,尚齐, 啦咯啦咯啦咯,9/10/2017 9:54
1954801364,尚齐,711,9/16/2017 16:44
2120839286,kaifang站点管理员, 测试摄像头设备切换的问题,9/10/2017 9:55
2120839286,尚齐, 测试什么？,9/10/2017 10:03
2120839286,尚齐, 进来了,9/17/2017 22:07
